Fecha Creación,Mesa,Negocio,No. Factura,Total,Categoría,Producto,Precio de venta,Cantidad,Total,Total Bruto,Impuesto,Valor Descuentos,Promoción,Valor Neto,Costo Promedio,Margen de utilidad ($),Margen de utilidad (%)
18/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM2371,"$77,300.00",Helados,Hielo - Mini,"$5,900.00",1,"$5,900.00","$5,462.96",INC,$0.00,$0.00,"$5,462.96",$983.13,"$4,479.83",82.00
18/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM2371,"$77,300.00",Helados,Monki - Mediano,"$13,900.00",2,"$27,800.00","$25,740.74",INC,$0.00,$0.00,"$25,740.74","$6,000.86","$19,739.88",76.69
18/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM2371,"$77,300.00",Helados,Monki - Pequeno,"$10,900.00",1,"$10,900.00","$10,092.59",INC,$0.00,$0.00,"$10,092.59","$1,708.63","$8,383.96",83.07
18/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM2371,"$77,300.00",Helados,Hielo - Mediano,"$12,900.00",1,"$12,900.00","$11,944.44",INC,$0.00,$0.00,"$11,944.44","$2,362.43","$9,582.01",80.22
13/9/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM3617,"$75,900.00",Helados,Monki - Mini,"$6,900.00",11,"$75,900.00","$70,277.78",INC,$0.00,$0.00,"$70,277.78","$17,143.83","$53,133.95",75.61
14/9/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM3727,"$75,300.00",Helados,Monki - Pequeno,"$10,900.00",2,"$21,800.00","$20,185.19",INC,$0.00,$0.00,"$20,185.19","$3,417.26","$16,767.93",83.07
14/9/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM3727,"$75,300.00",Helados,Vaso pequeno de Helado Suave,"$7,900.00",1,"$7,900.00","$7,314.81",INC,$0.00,$0.00,"$7,314.81","$2,656.37","$4,658.45",63.69
14/9/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM3727,"$75,300.00",Helados,Monki - Mediano,"$13,900.00",3,"$41,700.00","$38,611.11",INC,$0.00,$0.00,"$38,611.11","$9,001.29","$29,609.82",76.69
14/9/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM3727,"$75,300.00",Helados,Cono,"$3,900.00",1,"$3,900.00","$3,611.11",INC,$0.00,$0.00,"$3,611.11","$1,314.04","$2,297.07",63.61
5/10/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM4621,"$74,900.00",Helados,Monki - Mini,"$7,900.00",1,"$7,900.00","$7,314.81",INC,$0.00,$0.00,"$7,314.81","$1,558.53","$5,756.28",78.69
5/10/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM4621,"$74,900.00",Toppings,Topping o salsa generico,"$2,500.00",1,"$2,500.00","$2,314.81",INC,$0.00,$0.00,"$2,314.81",$900.00,"$1,414.81",61.12
5/10/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM4621,"$74,900.00",Toppings,Topping o salsa generico,"$2,500.00",1,"$2,500.00","$2,314.81",INC,$0.00,$0.00,"$2,314.81",$900.00,"$1,414.81",61.12
5/10/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM4621,"$74,900.00",Helados,Monki - Pequeno,"$11,900.00",1,"$11,900.00","$11,018.52",INC,$0.00,$0.00,"$11,018.52","$1,708.63","$9,309.89",84.49
5/10/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM4621,"$74,900.00",Toppings,Topping o salsa generico,"$2,500.00",1,"$2,500.00","$2,314.81",INC,$0.00,$0.00,"$2,314.81",$900.00,"$1,414.81",61.12
5/10/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM4621,"$74,900.00",Helados,Vaso pequeno de Helado Suave,"$8,900.00",1,"$8,900.00","$8,240.74",INC,$0.00,$0.00,"$8,240.74","$2,656.37","$5,584.38",67.77
5/10/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM4621,"$74,900.00",Helados,Vaso mediano de helado suave,"$12,900.00",1,"$12,900.00","$11,944.44",INC,$0.00,$0.00,"$11,944.44","$2,921.23","$9,023.21",75.54
5/10/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM4621,"$74,900.00",Helados,Sundae de amarena,"$12,900.00",2,"$25,800.00","$23,888.89",INC,$0.00,$0.00,"$23,888.89","$7,304.06","$16,584.83",69.42
27/7/2025,Caja 1,MONKI HIELO ITALIANO SAS,956,"$74,400.00",Helados,Vaso de Helado Suave,"$7,900.00",1,"$7,900.00","$7,314.81",INC,$0.00,$0.00,"$7,314.81","$2,656.37","$4,658.45",63.69
27/7/2025,Caja 1,MONKI HIELO ITALIANO SAS,956,"$74,400.00",Helados,Monki - Mediano,"$13,900.00",4,"$55,600.00","$51,481.48",INC,$0.00,$0.00,"$51,481.48","$12,001.72","$39,479.76",76.69
27/7/2025,Caja 1,MONKI HIELO ITALIANO SAS,956,"$74,400.00",Helados,Monki - Pequeno,"$10,900.00",1,"$10,900.00","$10,092.59",INC,$0.00,$0.00,"$10,092.59","$1,708.63","$8,383.96",83.07
10/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM1971,"$74,000.00",Helados,Monki - Mediano,"$13,900.00",3,"$41,700.00","$38,611.11",INC,$0.00,$0.00,"$38,611.11","$9,001.29","$29,609.82",76.69
10/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM1971,"$74,000.00",Agua,Agua Brisa - 600ml,"$3,500.00",3,"$10,500.00","$9,722.22",INC,$0.00,$0.00,"$9,722.22","$4,500.00","$5,222.22",53.71
10/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM1971,"$74,000.00",Helados,Monki - Pequeno,"$10,900.00",2,"$21,800.00","$20,185.19",INC,$0.00,$0.00,"$20,185.19","$3,417.26","$16,767.93",83.07
5/10/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM4639,"$73,800.00",Toppings,Topping o salsa generico,"$2,500.00",3,"$7,500.00","$6,944.44",INC,$0.00,$0.00,"$6,944.44","$2,700.00","$4,244.44",61.12
5/10/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM4639,"$73,800.00",Helados,Monki - Pequeno,"$11,900.00",3,"$35,700.00","$33,055.56",INC,$0.00,$0.00,"$33,055.56","$5,125.89","$27,929.67",84.49
5/10/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM4639,"$73,800.00",Helados,Cono,"$3,900.00",1,"$3,900.00","$3,611.11",INC,$0.00,$0.00,"$3,611.11","$1,314.04","$2,297.07",63.61
5/10/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM4639,"$73,800.00",Helados,Vaso pequeno de Helado Suave,"$8,900.00",3,"$26,700.00","$24,722.22",INC,$0.00,$0.00,"$24,722.22","$7,969.10","$16,753.13",67.77
31/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM3005,"$73,000.00",Helados,Monki - Grande,"$16,900.00",1,"$16,900.00","$15,648.15",INC,$0.00,$0.00,"$15,648.15","$3,612.83","$12,035.32",76.91
31/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM3005,"$73,000.00",Toppings,Topping o salsa generico,"$2,500.00",1,"$2,500.00","$2,314.81",INC,$0.00,$0.00,"$2,314.81",$900.00,"$1,414.81",61.12
31/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM3005,"$73,000.00",Helados,Monki - Mediano,"$13,900.00",2,"$27,800.00","$25,740.74",INC,$0.00,$0.00,"$25,740.74","$6,000.86","$19,739.88",76.69
31/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM3005,"$73,000.00",Helados,Hielo - Mediano,"$12,900.00",2,"$25,800.00","$23,888.89",INC,$0.00,$0.00,"$23,888.89","$4,724.86","$19,164.03",80.22
15/9/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM3747,"$72,600.00",Toppings,Topping o salsa generico,"$2,500.00",2,"$5,000.00","$4,629.63",INC,$0.00,$0.00,"$4,629.63","$1,800.00","$2,829.63",61.12
15/9/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM3747,"$72,600.00",Helados,Monki - Grande,"$16,900.00",4,"$67,600.00","$62,592.59",INC,$0.00,$0.00,"$62,592.59","$14,451.32","$48,141.27",76.91
30/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM2961,"$72,500.00",Toppings,Salsa Cereza Amarena,"$5,000.00",2,"$10,000.00","$9,259.26",INC,$0.00,$0.00,"$9,259.26",$0.00,"$9,259.26",100.00
30/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM2961,"$72,500.00",Helados,Monki - Grande,"$16,900.00",1,"$16,900.00","$15,648.15",INC,$0.00,$0.00,"$15,648.15","$3,612.83","$12,035.32",76.91
30/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM2961,"$72,500.00",Helados,Cono,"$3,900.00",1,"$3,900.00","$3,611.11",INC,$0.00,$0.00,"$3,611.11","$1,314.04","$2,297.07",63.61
30/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM2961,"$72,500.00",Helados,Monki - Mediano,"$13,900.00",3,"$41,700.00","$38,611.11",INC,$0.00,$0.00,"$38,611.11","$9,001.29","$29,609.82",76.69
12/10/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM4914,"$72,300.00",Helados,Monki - Mini,"$7,900.00",1,"$7,900.00","$7,314.81",INC,$0.00,$0.00,"$7,314.81","$1,558.53","$5,756.28",78.69
12/10/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM4914,"$72,300.00",Helados,Hielo - Mini,"$7,900.00",3,"$23,700.00","$21,944.44",INC,$0.00,$0.00,"$21,944.44","$2,949.39","$18,995.05",86.56
12/10/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM4914,"$72,300.00",Toppings,Topping o salsa generico,"$2,500.00",2,"$5,000.00","$4,629.63",INC,$0.00,$0.00,"$4,629.63","$1,800.00","$2,829.63",61.12
12/10/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM4914,"$72,300.00",Helados,Monki - Pequeno,"$11,900.00",3,"$35,700.00","$33,055.56",INC,$0.00,$0.00,"$33,055.56","$5,125.89","$27,929.67",84.49
